C,FFGRL,FFQRH,RSSLOPE,RSXA,RPSTP, QTP,FFQRSD,RRR,RRPOST,FFRR2NDUR,TMA1mean,FMA2std,FMA2mean
1,86.111,24,145,93,0.97372,1.7268,2.3421,1.6165,-104.1,52.048,0.01325,0.23847,0.22172
1,86.111,25,147,94,1.0613,1.898,2.4737,1.8602,-109.94,54.971,0.01325,0.23847,0.22172
1,80.556,23,145,93,1.0312,1.8801,2.3497,1.7526,-97.906,48.953,0.027429,0.20224,0.18803
1,83.333,24,143,91,0.93523,1.6723,2.2255,1.4149,-98.909,49.455,0.016185,0.21673,0.21023
1,88.889,25,146,93,1.0961,2.0094,2.465,1.8548,-109.55,54.777,0.018421,0.22375,0.21462
1,88.889,24,142,89,1.0513,1.8077,2.5474,1.6504,-106.14,53.07,0.022885,0.21302,0.20139
1,86.111,24,145,93,0.97827,1.734,2.3544,1.5855,-104.64,52.32,0.017894,0.23104,0.22212
1,83.333,24,146,94,0.90581,1.6393,2.1188,1.4038,-94.167,47.084,0.019714,0.21222,0.20207
1,83.333,23,142,90,0.99082,1.7549,2.3577,1.6492,-98.239,49.12,0.015889,0.21254,0.20469
1,83.333,23,142,91,0.92652,1.6376,2.2933,1.4974,-101.92,50.961,0.019975,0.21979,0.20998
1,86.111,24,143,90,1.0967,1.9538,2.5395,1.7808,-105.81,52.906,0.018628,0.22978,0.22034
1,83.333,23,145,93,0.88402,1.552,2.1378,1.3339,-89.076,44.538,0.023611,0.20848,0.19607
1,88.889,24,143,91,0.93876,1.64,2.3106,1.5028,-102.69,51.347,0.022361,0.21211,0.20077
1,86.111,25,147,94,1.1547,2.0723,2.6696,1.9351,-118.65,59.324,0.020512,0.23136,0.22097
1,86.111,24,146,94,0.93462,1.6643,2.2378,1.4997,-99.458,49.729,0.017128,0.22463,0.21586
1,86.111,24,146,94,0.94466,1.6736,2.2781,1.5348,-101.25,50.624,0.018144,0.21349,0.20436
1,86.111,24,146,94,1.0049,1.796,2.3863,1.6453,-106.06,53.029,0.02497,0.21948,0.20681
1,86.111,24,144,92,0.98563,1.7644,2.3368,1.5919,-103.86,51.928,0.014378,0.23539,0.2282
1,86.111,25,147,94,1.0497,1.9182,2.3753,1.7036,-105.57,52.784,0.017153,0.22449,0.2157
1,91.667,25,145,92,1.0667,1.8962,2.5062,1.7387,-111.39,55.693,0.020774,0.21779,0.20711
1,86.111,24,143,91,0.97449,1.7587,2.2832,1.5677,-101.48,50.738,0.017254,0.2297,0.22101
1,144.44,45,169,92,0.99792,1.6288,2.1933,1.4651,-97.481,48.74,0.015955,0.21795,0.20998
1,83.333,23,145,93,1.0447,1.8427,2.4948,1.7303,-103.95,51.975,0.022352,0.22072,0.20963
1,86.111,24,146,93,1.0231,1.8024,2.4095,1.6141,-100.4,50.198,0.016953,0.23302,0.22456
1,80.556,23,145,93,1.0874,2.0109,2.419,1.7985,-100.79,50.395,0.015299,0.22664,0.2189
1,86.111,24,146,94,0.99062,1.8024,2.2904,1.616,-101.8,50.899,0.018199,0.21011,0.20055
1,83.333,23,144,93,0.94127,1.6642,2.3269,1.5603,-103.42,51.71,0.022894,0.22196,0.21069
1,88.889,24,145,93,0.98029,1.7359,2.3623,1.5726,-104.99,52.496,0.023531,0.21639,0.20408
1,83.333,24,143,91,1.0704,1.9517,2.4584,1.7972,-109.26,54.632,0.014969,0.23156,0.22397
1,86.111,23,145,93,0.92878,1.6246,2.2537,1.4223,-93.904,46.952,0.02265,0.20288,0.19092
1,88.889,24,145,92,1.1286,1.998,2.6315,1.9042,-109.64,54.822,0.018273,0.23383,0.22493
1,86.111,24,146,94,0.95133,1.7023,2.2599,1.5123,-100.44,50.221,0.020146,0.22061,0.21037
1,83.333,23,145,93,0.91913,1.6628,2.1279,1.5021,-88.663,44.332,0.017512,0.20187,0.19301
